FixtureID,Date,Timestamp,VenueID,HomeTeamID,AwayTeamID,Status,Round,LeagueID,Season
1324951,2025-03-23T05:00:00+00:00,1742706000,959.0,2235,315,FT,Regular Season - 6,100,2025
1324952,2025-03-30T04:00:00+00:00,1743307200,11578.0,4326,7135,FT,Regular Season - 7,100,2025
1324953,2025-03-30T05:00:00+00:00,1743310800,3301.0,4318,4319,FT,Regular Season - 7,100,2025
1324954,2025-03-30T05:00:00+00:00,1743310800,20714.0,315,7145,FT,Regular Season - 7,100,2025
1324955,2025-03-30T05:00:00+00:00,1743310800,2774.0,756,805,FT,Regular Season - 7,100,2025
1324956,2025-03-30T05:00:00+00:00,1743310800,3306.0,4324,317,FT,Regular Season - 7,100,2025
1324957,2025-03-30T05:00:00+00:00,1743310800,987.0,300,4323,FT,Regular Season - 7,100,2025
1324958,2025-03-29T05:00:00+00:00,1743224400,958.0,297,304,FT,Regular Season - 7,100,2025
1324959,2025-03-30T05:00:00+00:00,1743310800,20561.0,7138,4314,FT,Regular Season - 7,100,2025
1324960,2025-03-30T05:00:00+00:00,1743310800,5189.0,7129,2235,FT,Regular Season - 7,100,2025
1324961,2025-03-30T05:00:00+00:00,1743310800,20519.0,10409,2236,FT,Regular Season - 7,100,2025
1324962,2025-04-06T05:00:00+00:00,1743915600,978.0,315,4326,FT,Regular Season - 8,100,2025
1324963,2025-04-06T05:00:00+00:00,1743915600,11585.0,7145,4318,FT,Regular Season - 8,100,2025
1324964,2025-04-05T05:00:00+00:00,1743829200,2774.0,756,10409,FT,Regular Season - 8,100,2025
1324965,2025-04-05T05:00:00+00:00,1743829200,969.0,304,7129,FT,Regular Season - 8,100,2025
1324966,2025-04-06T04:00:00+00:00,1743912000,3305.0,4323,2236,FT,Regular Season - 8,100,2025
1324967,2025-04-06T05:00:00+00:00,1743915600,3298.0,4314,317,FT,Regular Season - 8,100,2025
1324968,2025-04-05T05:00:00+00:00,1743829200,5191.0,7135,297,FT,Regular Season - 8,100,2025
1324969,2025-04-06T05:00:00+00:00,1743915600,11577.0,4319,300,FT,Regular Season - 8,100,2025
1324970,2025-04-05T05:00:00+00:00,1743829200,2775.0,805,7138,FT,Regular Season - 8,100,2025
1324971,2025-04-05T08:00:00+00:00,1743840000,959.0,2235,4324,FT,Regular Season - 8,100,2025
1324972,2025-04-12T05:00:00+00:00,1744434000,3301.0,4318,805,FT,Regular Season - 9,100,2025
1324973,2025-04-13T05:00:00+00:00,1744520400,3306.0,4324,756,FT,Regular Season - 9,100,2025
1324974,2025-04-13T04:00:00+00:00,1744516800,3305.0,4323,2235,FT,Regular Season - 9,100,2025
1324975,2025-04-13T05:00:00+00:00,1744520400,987.0,300,7135,FT,Regular Season - 9,100,2025
1324976,2025-04-13T05:00:00+00:00,1744520400,958.0,297,315,FT,Regular Season - 9,100,2025
1324977,2025-04-12T05:00:00+00:00,1744434000,20561.0,7138,4326,FT,Regular Season - 9,100,2025
1324978,2025-04-13T05:00:00+00:00,1744520400,1935.0,317,304,FT,Regular Season - 9,100,2025
1324979,2025-04-13T05:00:00+00:00,1744520400,5189.0,7129,7145,FT,Regular Season - 9,100,2025
1324980,2025-04-12T05:00:00+00:00,1744434000,20519.0,10409,4319,FT,Regular Season - 9,100,2025
1324981,2025-04-13T04:00:00+00:00,1744516800,11575.0,2236,4314,FT,Regular Season - 9,100,2025
1324982,2025-04-20T04:00:00+00:00,1745121600,11578.0,4326,4323,FT,Regular Season - 10,100,2025
1324983,2025-04-20T04:00:00+00:00,1745121600,3301.0,4318,7129,FT,Regular Season - 10,100,2025
1324984,2025-04-20T05:00:00+00:00,1745125200,978.0,315,300,FT,Regular Season - 10,100,2025
1324985,2025-04-20T05:00:00+00:00,1745125200,969.0,304,7145,FT,Regular Season - 10,100,2025
1324986,2025-04-20T05:00:00+00:00,1745125200,958.0,297,317,FT,Regular Season - 10,100,2025
1324987,2025-04-18T05:00:00+00:00,1744952400,20561.0,7138,756,FT,Regular Season - 10,100,2025
1324988,2025-04-19T05:00:00+00:00,1745038800,5191.0,7135,4314,FT,Regular Season - 10,100,2025
1324989,2025-04-20T05:00:00+00:00,1745125200,2775.0,4319,2236,FT,Regular Season - 10,100,2025
1324990,2025-04-20T05:00:00+00:00,1745125200,2775.0,805,4324,FT,Regular Season - 10,100,2025
1324991,2025-04-20T08:00:00+00:00,1745136000,959.0,2235,10409,FT,Regular Season - 10,100,2025
1324992,2025-05-03T05:00:00+00:00,1746248400,11585.0,7145,7138,FT,Regular Season - 11,100,2025
1324993,2025-05-03T05:00:00+00:00,1746248400,2774.0,756,297,FT,Regular Season - 11,100,2025
1324994,2025-05-03T06:00:00+00:00,1746252000,969.0,304,300,FT,Regular Season - 11,100,2025
1324995,2025-05-03T09:00:00+00:00,1746262800,3305.0,4323,4324,FT,Regular Season - 11,100,2025
1324996,2025-05-03T05:00:00+00:00,1746248400,3298.0,4314,4326,FT,Regular Season - 11,100,2025
1324997,2025-05-03T05:00:00+00:00,1746248400,11577.0,4319,2235,FT,Regular Season - 11,100,2025
1324998,2025-05-03T05:00:00+00:00,1746248400,1935.0,317,4318,FT,Regular Season - 11,100,2025
1324999,2025-05-03T05:00:00+00:00,1746248400,2775.0,805,315,FT,Regular Season - 11,100,2025
1325000,2025-05-03T05:00:00+00:00,1746248400,20519.0,10409,7129,FT,Regular Season - 11,100,2025
1325001,2025-05-03T05:00:00+00:00,1746248400,11575.0,2236,7135,FT,Regular Season - 11,100,2025
1325002,2025-05-06T05:00:00+00:00,1746507600,11578.0,4326,7145,FT,Regular Season - 12,100,2025
1325003,2025-05-06T04:55:00+00:00,1746507300,3301.0,4318,756,FT,Regular Season - 12,100,2025
1325004,2025-05-06T05:00:00+00:00,1746507600,20714.0,315,4323,FT,Regular Season - 12,100,2025
1325005,2025-05-06T05:00:00+00:00,1746507600,3306.0,4324,4319,FT,Regular Season - 12,100,2025
1325006,2025-05-06T05:00:00+00:00,1746507600,987.0,300,805,FT,Regular Season - 12,100,2025
1325007,2025-05-06T10:00:00+00:00,1746525600,958.0,297,4314,FT,Regular Season - 12,100,2025
1325008,2025-05-07T10:00:00+00:00,1746612000,20561.0,7138,304,FT,Regular Season - 12,100,2025
1325009,2025-05-06T05:00:00+00:00,1746507600,5191.0,7135,10409,FT,Regular Season - 12,100,2025
1325010,2025-05-06T05:00:00+00:00,1746507600,5189.0,7129,317,FT,Regular Season - 12,100,2025
1325011,2025-05-06T09:00:00+00:00,1746522000,959.0,2235,2236,FT,Regular Season - 12,100,2025
1325012,2025-05-17T05:00:00+00:00,1747458000,11585.0,7145,297,FT,Regular Season - 13,100,2025
1325013,2025-05-17T05:00:00+00:00,1747458000,2774.0,756,7129,FT,Regular Season - 13,100,2025
1325014,2025-05-18T05:00:00+00:00,1747544400,3306.0,4324,7138,FT,Regular Season - 13,100,2025
