VenueID,Name,City,Capacity,Surface,Address
3904,Sugathadasa Stadium,Colombo,28000,grass,Cyril C Perera Road
3905,Hasely Crawford Stadium,Port of Spain,27000,grass,"Wrightson Road, Mucurapo"
4149,Ghazi Stadium,Kabul,25000,artificial turf,
4152,Wildey Turf (Sir Garfield Sobers Complex),Bridgetown,2000,artificial turf,"Wildey, St. Michael"
4154,Windsor Park Stadium,Roseau,12000,grass,Bath Road / Valley Road
4158,Warner Park Football Stadium,Basseterre,5000,grass,Victoria Road
4159,Stadion Nasional Timor Leste,Dili,5000,grass,
4160,Estadio Juán Rámon Loubriel,Bayamón,22000,grass,Route 2 &amp; Route 5
4162,Arnos Vale Ground,Kingstown,18000,grass,Arnos Vale
5773,James Ronald Webster Park,The Valley,4000,grass,The Valley Road
5789,A.O. Shirley Recreation Ground,Road Town,1500,grass,Waterfront Drive
7558,Estadio Alexander Comanche Bottini,,8000,grass,
11600,Parken,København,38065,grass,Øster Allé 50
11602,CITY ARENA – Štadión Antona Malatinského,Trnava,19200,grass,ul. Športová 1
11603,Ullevaal Stadion,Oslo,27182,grass,Sognsveien 75
19208,Estadio José de la Paz Herrera Uclés,Tegucigalpa,35000,grass,"1A Avenida, Barrio Morazán"
19604,Stade de Luxembourg,Luxembourg,9386,grass,E25
19605,Puskás Aréna,Budapest,67889,grass,Dózsa György út 5
19627,Estadio Otto Bueno,Coro,5000,grass,
19656,National Football Stadium (Maldives),"Malé, North Malé Atoll, Kaafu Atoll",11850,grass,Majeedhee Magu
19696,Bukit Jalil National Stadium,Kuala Lumpur,87411,grass,"Jalan Merah Cagar, Bukit Jalil"
19758,Stadion Ergilio Hato,Willemstad,10000,grass,"Corrieweg / Bonamweg 49, Brievengat"
19759,Kirani James National Stadium,St. George&apos;s,10000,grass,Queens&apos; Park Road
20114,NSK Olimpiiskyi,Kyiv,70050,grass,vul. Velyka Vasylkivska 55
20324,Olympic Stadium,Phnom Penh,70000,artificial turf,Monireth Boulevard
20365,Stade Kianja Barea Mahamasina,Antananarivo,40880,grass,Lalana Rajoelina
21117,Estádio do Marítimo,Ilha da Madeira,10932,grass,Rua do Dr. Pita
21410,Accra Sports Stadium,Accra,35000,grass,Malam Awudu Road
21411,Strawberry Arena,Solna,54329,grass,Råsta Strandväg 1
21412,Stade olympique Hammadi-Agrebi,Radès,65000,grass,Cité Olympique du 7 novembre
21413,Sân vận động quốc gia Mỹ Đình (Mỹ Đình National Stadium),Hanoi,40192,grass,Từ Liêm
21415,National Stadium,Singapore,55000,grass,"1 Stadium Drive, Kallang"
21416,Republican Central Stadium,Dushanbe,24000,artificial turf,Ismoil Somoni Avenue
21438,Lao National Stadium KM16,Vientiane,25000,grass,"Avenue Kaysone Phomvihane, KM16, Anou"
21730,Estadio de fútbol Francisco Massiani,Puerto la Cruz,5000,grass,
21731,Estadio Decanato UDO Bolívar,Bolívar,1500,grass,
